Issue Date,,06-Nov-23,"11-Nov-23
(no mpox reports)",18-Nov-23,"26-Nov-23
(no mpox reports)","3-Dec-23
(no mpox reports)","9-Dec-23
(no mpox reports)","18-Dec-23
(no mpox reports)",24-Dec-23,"31-Dec-23
(no mpox reports)",07-Jan-24,"12-Jan-24
(no mpox reports)","20-Jan-24
(no mpox reports)","29-Jan-24
(no mpox reports)","3-Feb-24
(no mpox reports)",10-Feb-24,"17-Feb-24
(no mpox reports)","4-Mar-24
(no mpox reports)",17-Mar-24,24-Mar-24,29-Mar-24,06-Apr-24,14-Apr-24,20-Apr-24,28-Apr-24,05-May-24,12-May-24,18-May-24,25-May-24,01-Jun-24,09-Jun-24,16-Jun-24,22-Jun-24,30-Jun-24,06-Jul-24,12-Jul-24,"19-Jul-24
(No mpox reports)",28-Jul-24,03-Aug-24,09-Aug-24,16-Aug-24,25-Aug-24,31-Aug-24,10-Sep-24,16-Sep-24,23-Sep-24,30-Sep-24,06-Oct-24,12-Oct-24,"21-Oct-24
(data appears to be the same as 22-Oct bulletin)",26-Oct-24,03-Nov-24,10-Nov-24,17-Nov-24,25-Nov-24,03-Dec-24
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,0,,,No info,No info,,No info,No info,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,50,,,No info,No info,,No info,No info,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,18,No info,,23,24,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,100,,,100,N/A,,100,100,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,100,,,100,100,,100,100,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,13.3,,,11.11,N/A,,8.7,8.3,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,15,,,11.11,11,,11,8,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,86.7,,,88.9,90,,91.3,91.7,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,No info,,,No info,Ia,,No info,No info,,,,,
Ghana,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (2024),,,,,,,,,,,,,,,,1,1,,,,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,1,,,,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131 (2022-2024),,,,,,,,,,,,,,,,230,230,,,,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,1,2,,,,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,No info,,,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,99.6,99.1,,,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,,,,,,,,,,No info,IIb,,,,,,,
Guinea,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,18,,,,,,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,41,,,,,,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No info,,,,,,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No info,,,,,,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,,,,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,,,,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,18 (new),,,,,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,100 (new),,,,,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,100,,,,,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,N/A,,,,,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,No info,,,,,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8,,,97.6,,,,,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,,,,,,,,
Kenya,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,3,4,3,1,,,11,,28
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,3,4,1,1,,,3,,2
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,No info,,,,0,0,1,0,,,0,,0
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,115,,,,8,235 (given 100% tested),238 (given 100% tested),249 (given 100% tested),,,270,,298
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,5,,,,8,12,13,14,,,17,,19
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,No info,,,,0,0,1,1,,,1,,1
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,No info,,,,0,0,7.7,7.1 (should be 1/249 = 0.4),,,No info,,5.3
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,0,0,0,0,,,No info,,No info
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,No info,,60,,,,63,58,54,57,,,57,,57
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,No info,,99,,,,No info,235,238,249,,,270,,298
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,N/A,,86.1,,,,N/A,N/A,100,100,,,100,,100
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,86,,,,100,100,100,100,,,100,,100
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,N/A,,5.1,,,,N/A,5.1,5.5,5.6,,,6.296296296,,6.375838926
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,5,,,,4,5.1,5.4,5.6,,,6.3,,6.4
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,95.7,,,,0,0,0,0,,,93.7,,93.6
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,Ib,,,,Ib,Ib,Ib,Ib,,,Ib,,lb
Liberia,New Cases,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,1,,,,,,,,,,,1,,87,33,30,,,,15,25,,30,12,17,21
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,1,,,,,,,,,,,1,,2,3,1,,,,4,1,,7,12,10,11
,New Deaths,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,0,,0,0,0,,,,0,0,,0,0,0,0
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,"21 (2023)
2 (2024)",,,,,4,,,,,5,,,,,,,,,,,6,,93,96,145,,,,229,254,,303,315,332,353
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,"21 (2023)
2 (2024)",,,,,4,,,,,5,,,,,,,,,,,6,,8,11,12,,,,18,19,,29,41,51,62
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,0,,0,0,0,,,,0,0,,0,0,0,0
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,0,,0,0,0,,,,0,0,,0,0,0,0
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,No info,,,,,No info,,,,,No info,,,,,,,,,,,"33
(>15 only)",,50,45,"No info
(20-40 only)",,,,39,39,,40,41,39,39
,% Male,,,,,,,,,,,,,,,,,,,,No info,,,,,No info,,,,,No info,,,,,,,,,,,50,,50,"45
(female % given)","50
(female % given)",,,,No info,No info,,No info,No info,No info,No info
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,No info,,,,,No info,,,,,No info,,,,,,,,,,,No info,,52,100,119,,,,196,204,,252,271,284,302
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,N/A,,,,,,,,,,,N/A,,55.9,79.3,82.1,,,,85.6,80.3,,83.1,86.03174603,85.54216867,85.55240793
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,No info,,,,,No info,,,,,No info,,,,,,,,,,,No info,,56,79,82,,,,85.5,80,,83,86,86,86
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,N/A,,,,,,,,,,,N/A,,15.3,11,10.1,,,,9.2,9.3,,11.5,15.12915129,17.95774648,20.52980132
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,No info,,,,,No info,,,,,No info,,,,,,,,,,,No info,,12,11,10.1,,,,9.1,9.3,,11.5,15.1,18,21
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,,,,0,,91.4,88.5,91.7,,,,92.1,92.5,,90.4,87,84.6,82.4
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,No info,,,,,No info,,,,,No info,,,,,,,,,,,No info,,No info,No info,No info,,,,No info,No info,,No info,No info,No info,No info
Mauritius,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,
Morocco,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 (2022)
2 (2024)",,,,2,,,,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 (2022)
2 (2024)",,,,2,,,,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 (2024),,,,100 (2024),,,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 (2022)
2 (2024)",,,,2,,,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,No info,,,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,100,,,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,No info,,,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IIb (2022) / II (2024),,,,IIb,,,,,,,
Nigeria,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,15,,1,868,74,63,72,,,60,,,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,15,,1,8,7,6,5,,,10,,,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,0,0,0,0,0,,,0,,,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,39,,40,916,990,1100,1180,,,1297,,,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,39,,40,48,55,73,78,,,94,,,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,0,0,0,0,0,,,0,,,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,0,0,0,0,0,,,0,,,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50
(<11 years)",,,,,,,"38
(ages <1-10 years)",,"35
(ages <1-10 years)",35,35,"37.3
(ages <1-10 years)","29.4
(ages <1-10 years)",,,"26
(ages <1-10 years)",,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,70,,70,71,71,67,68,,,69,,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,No info,,No info,868,990 (100% claim),1100 (100% claim),1180 (100% claim),,,1297 (given 100% testing),,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,N/A,94.8,100,100,100,,,100,,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,No info,,No info,100,100,100,100,,,100,,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,N/A,5.5,5.6,6.6,6.6,,,7.2,,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,No info,,No info,5.5,5.9,6.4,6.6,,,7.2,,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,0,94.8,94.4,93.4,93.4,,,92.8,,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,,,,,II,,No info,No info,No info,II,No info,,,No info,,,,,,
Rwanda,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,263,,,,,,,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,0,,,,,,,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,,,,,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,1379,,,,,,,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,4,,,,,,,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,,,,,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,,,,,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No info,,,,,0,,,,,,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,No info,,,,,67,,,,,,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No info,,,,,1379 (100% claim),,,,,,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,N/A,,,,,100,,,,,,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,,,,100,,,,,,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,N/A,,,,,0.3,,,,,,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,,,,,"No info
(missing)",,,,,,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,99.7,,,,,,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,Ib,,,,,Ib,,,,,,,,,,
South Africa,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,7,3,4,2,,,,2,,,,,1,,,,,,,,,,,
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,2,7,3,4,2,,,,2,,,,,1,,,,,,,,,,,
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,2,0,1,0,0,,,,0,,,,,0,,,,,,,,,,,
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 (2022)
1 (2024)",,2,4,6,13,16,20,22,,,,24,,,,,No info,,,,,,,,,,,
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 (2022)
1 (2024)",,2,4,6,13,16,20,22,,,,24,,,,,25,,,,,,,,,,,
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,2,2,3,3,3,,,,3,,,,,3,,,,,,,,,,,
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,33,15.3,18.7,15,15,,,,12.5,,,,,12,,,,,,,,,,,
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (2024),,0 (new case),0,0,0,0,0,0,,,,0,,,,,0,,,,,,,,,,,
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,100 (2024),,100 (new case),No info,100,100,100,100,100,,,,100,,,,,100,,,,,,,,,,,
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,No info,No info,No info,No info,No info,No info,No info,,,,No info,,,,,692,,,,,,,,,,,
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,,N/A,,,,,,,,,,,
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,No info,No info,No info,No info,No info,No info,No info,,,,No info,,,,,"No info 
(total # of tests given only)",,,,,,,,,,,
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,,3.6,,,,,,,,,,,
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,No info,No info,No info,No info,No info,No info,No info,,,,No info,,,,,3.6,,,,,,,,,,,
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,0,,,,,No info,,,,,,,,,,,
,Clade(s) Isolated from Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,II (2022),,No info,No info,IIb,IIb,IIb,IIb,IIb,,,,IIb,,,,,IIb,,,,,,,,,,,
Uganda,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,6,1,11,2,,45,No info,61,23,184,84,78,162
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,6,1,11,2,,45,22,61,23,184,84,78,162
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,1,0,0,0,0
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,4,200,201,212,597,,69,769 (given 100% tested),830 (given 100% tested),853 (given 100% tested),1037 (given 100% tested),1121,1210,1372
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,4,10,11,22,24,,69,91,152,175,359,443,521,683
,Cumulative Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,1,1,1,1,1
,Case Fatality Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,0.6,0.6,0.2,0.2,0.1
,% Children < 15 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,No info,No info,No info,,No info,No info,No info,No info,No info,No info,No info,No info
,% Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,No info,50,60,No info,No info,No info,,No info,No info,No info,No info,No info,No info,No info,No info
,Cumulative Cases Tested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,No info,No info,200,201,212,597,,747,769,830,853,1037,1121,1210,1372
,Calculated Testing Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,N/A,N/A,100,100,100,100,,N/A,100,100,100,100,100,100,100
,Reported Testing Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,No info,100,100,100,100,,100,100,100,100,100,100,100,100
,Calculated Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,N/A,N/A,5,5.5,10.4,4,,9.2,11.8,18.3,20.5,34.6,39.51828724,43.05785124,49.78134111
,Reported Positivity Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No info,,,No info,No info,5,5.5,10.3,4,,9.2,11.8,18.3,20.5,34.6,39.5,43,49.8
,Calculated Dx Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,95,94.5,89.6,96,,0,0,0,0,65.4,60.5,56.9,50.2
